UserIndex,Checked,CreatedAt,FollowersCount,FriendsCount,ScreenName,TweetID,UserID,UserName
5413302,True,2019-08-18 21:17:46,691,914,powtac, ,5413302,Simon Brüchner
5414592,True,2019-08-16 15:26:57,683,186,adam_g, ,5414592,Adam Gross
5435412,True,2019-08-19 19:01:54,338,333,m0mms, ,5435412,Mark
5438882,True,2019-08-20 17:38:41,4748,1026,ahl, ,5438882,Adam Leventhal
5471512,True,2019-08-19 12:54:13,2840,967,nickpatience, ,5471512,Nick Patience
5476742,True,2019-08-19 04:30:57,1821,2985,SnowWrite, ,5476742,Donna 'SnowWrite' Snow #techseo
5538582,True,2019-08-18 20:52:44,1394,760,monumentsinking, ,5538582,Gitamba
5543002,True,2019-08-18 21:39:23,728,2059,wfdobie, ,5543002,Bill Dobie
5550052,True,2019-08-22 05:09:31,43,43,jfuechsl,1164404209539846144,5550052,Johann Füchsl
5604372,True,2019-08-19 00:59:51,137,121,rezar, ,5604372,Reza R.
5624352,True,2019-08-19 09:11:47,837,764,Dat, ,5624352,Dat
5633002,True,2019-08-19 13:09:57,32126,1696,quasimondo, ,5633002,Mario Klingemann
5647112,True,2019-08-21 17:26:26,414,859,marielli,1164227273509224449,5647112,Marielle Dado
5647302,True,2019-08-19 17:53:22,253,369,dimfeld, ,5647302,Daniel Imfeld
5654932,True,2019-08-14 19:50:02,23908,25412,rtehrani, ,5654932,Rich Tehrani
5655132,True,2019-08-22 07:50:44,2273,2543,HowardvRooijen,1164444780954345474,5655132,Howard van Rooijen
5657392,True,2019-08-14 19:01:37,1433,987,tkeanini, ,5657392,TK Keanini
5697162,True,2019-08-21 14:17:58,3287,2862,mrelph,1164179842360758272,5697162,Mark Relph
5734242,True,2019-08-19 08:46:21,3357,1680,ChaToX, ,5734242,Carlos Castillo
5740092,True,2019-08-22 08:36:10,11885,1482,abdu,1164456213595209728,5740092,Abdu عبدالرحمن
5743512,True,2019-08-18 07:14:23,1022,1531,amos_vm, ,5743512,Amos
5766762,True,2019-08-19 01:33:04,417,906,brianstarke, ,5766762,Brian Starke
5792732,True,2019-08-16 17:49:53,3415,1518,timstock, ,5792732,Tim Stock
5862962,True,2019-08-19 10:47:01,860,1517,doublehelix, ,5862962,David Allsopp
5874682,True,2019-08-21 10:54:11,900,1927,loughlin,1164128559591563264,5874682,Loughlin O'Nolan
5890842,True,2019-08-16 13:42:47,158,215,AntoineTweeting, ,5890842,Antoine Bonnin
5907282,True,2019-08-22 10:08:26,8815,1179,shobz,1164479431211126784,5907282,ST
5918132,True,2019-08-18 07:27:29,1775,994,geroppa, ,5918132,げろっぱ
5929042,True,2019-08-21 12:53:57,1527,1696,francesco1221,1164158698119290880,5929042,Clayton Emmer
5930022,True,2019-08-21 20:50:53,507,1750,luke0ritchie,1164278724444864512,5930022,Luke Ritchie
5949882,True,2019-08-20 18:39:07,467,55,harigottipati, ,5949882,Hari K Gottipati
5980872,True,2019-08-20 14:57:52,49,87,konnho, ,5980872,KONNO Kiyotaka
5981342,True,2019-08-20 18:34:09,55633,47052,lkafle, ,5981342,Lava Kafle
5988062,False,2019-08-22 01:26:41,23959248,119,TheEconomist,1164348131217215496,5988062,The Economist
5988242,False,2019-08-18 15:12:54,444,174,webgrrrl, ,5988242,Lorna Timbah
6019382,False,2019-08-21 10:52:11,155,417,ThomasHopper,1164128053875957761,6019382,Tom Hopper
6035812,False,2019-08-15 17:01:50,1359,3475,enkiv2, ,6035812,resident hypertext crank
6046902,False,2019-08-20 16:00:18,1647,112,foxteh, ,6046902,Julien
6107302,False,2019-08-18 05:19:30,2649,5000,syawal, ,6107302,syawal™ シ
6107392,False,2019-08-19 13:53:52,24096,16568,charlyaztec, ,6107392,Carlos Estrada
6151482,False,2019-08-19 03:07:08,1536,941,lobrien, ,6151482,Larry O’Brien
6168682,False,2019-08-21 22:35:10,5329,841,michaelzimmer,1164304964933623815,6168682,Michael Zimmer
6178602,False,2019-08-19 14:50:03,547,1213,petrbambasek, ,6178602,Petr Bambasek
6234502,False,2019-08-19 11:10:49,145,128,matabares, ,6234502,matabares
6236572,False,2019-08-22 06:29:18,25503,23758,logz05,1164424288155373568,6236572,Nick Loggie
6255432,False,2019-08-19 10:19:25,3272,376,high190, ,6255432,high190
6295612,False,2019-08-19 18:23:20,2787,87,romanzolotarev, ,6295612,Roman 🦄🐡
