UserIndex,UserID,CreatedAt,UserName,ScreenName,FollowersCount,FriendsCount,Followers,Friends
2360,2360,2019-08-09 20:17:32,ANSHUL KUNDAJE,anshulkundaje,5662,1064,[],[]
69864648,69864648,2019-08-09 20:17:44,#BBNaija,OloriSupergal,128747,7197,[],[]
89312744,89312744,2019-08-09 21:05:07,Dr. Amanda Visconti,Literature_Geek,4265,1707,[],[]
351128331,351128331,2019-08-09 21:07:22,Nana Kay #AI,SmartestNk,11605,10955,[],[]
387715190,387715190,2019-08-09 20:17:12,Patriarche Dede,Dede_MULUMBA,150,337,[],[]
714651006,714651006,2019-08-09 20:17:03,Virtual Consultnts,itvc_io,48,39,[],[]
1316001794,1316001794,2019-08-09 21:05:10,Peniel Ilechie,OfficialOsasuyi,785,721,[],[]
1617862262,1617862262,2019-08-09 21:07:49,Febisola,Febz__,800,813,[],[]
3060444101,3060444101,2019-08-09 21:07:24,Santchi,SantchiWeb,6691,4724,[],[]
732076912101580804,732076912101580804,2019-08-09 21:07:11,botdirectory,botdirectorynet,2622,4614,[],[]
812635133526364160,812635133526364160,2019-08-09 21:07:18,John Oladipo,JSage00,85,184,[],[]
815169124322201600,815169124322201600,2019-08-09 21:04:05,Data science,Datascience__,13058,1744,[],[]
842546050787295232,842546050787295232,2019-08-09 21:08:10,iotng,iot_ng,134,0,[],[]
867279904303267840,867279904303267840,2019-08-09 21:05:13,千早んちのロロ先生,PetOfChihaya,192,246,[],[]
913537855846256640,913537855846256640,2019-08-09 21:08:34,Elly Shobi,EllyShobi,30,167,[],[]
979065320936787968,979065320936787968,2019-08-09 21:04:14,Fabien Forest,FabienForest,524,614,[],[]
1077009755145674752,1077009755145674752,2019-08-06 17:37:47,Tech Aggregate,TechAggreg,227,32,[],[]
1141755593620951042,1141755593620951042,2019-08-09 20:17:32,daytum,daytum_io,47,55,[],[]
1142718556179718146,1142718556179718146,2019-08-09 21:07:56,Brown Sugar,Oyinkanso1a,1433,1429,[],[]
15221598,15221598,2019-08-09 21:10:00,jamesvgingerich,jamesvgingerich,27743,29936,[],[]
166687468,166687468,2019-08-09 21:10:14,Ryan Adam Collier,RYZADZ,140,675,[],[]
316331833,316331833,2019-08-09 21:10:05,Gamer Geek,GamerGeekNews,11432,8509,[],[]
96135022,96135022,2019-08-09 21:10:34,Mark 🦑. Riedl,mark_riedl,10606,856,[],[]
